accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-1.440479278564453125e+00,1.962114572525024414e-01,4.847858428955078125e+00,2.651154994964599609e-01,-6.230825558304786682e-02,1.466076541692018509e-02
-1.488335728645324707e+00,2.057827562093734741e-01,4.599005222320556641e+00,-2.113593816757202148e-01,1.087340116500854492e-01,-1.221730490215122700e-03
-1.531406521797180176e+00,5.120640397071838379e-01,4.460221767425537109e+00,-3.286454975605010986e-01,3.909537568688392639e-02,-1.221730490215122700e-03
-1.387837171554565430e+00,7.082754969596862793e-01,4.517648696899414062e+00,-1.795943826436996460e-01,-2.321287989616394043e-02,-1.099557429552078247e-01
-1.560120344161987305e+00,4.881358444690704346e-01,4.723432064056396484e+00,-9.407324343919754028e-02,-1.954768747091293335e-01,-2.333505302667617798e-01
-1.339980721473693848e+00,3.110669553279876709e-01,5.015356540679931641e+00,-1.563815027475357056e-01,-1.258382350206375122e-01,-1.795943826436996460e-01
-1.584048628807067871e+00,5.264209583401679993e-02,4.943571567535400391e+00,-3.286454975605010986e-01,6.230825558304786682e-02,-2.333505302667617798e-01
-1.517049551010131836e+00,2.871387079358100891e-02,4.752145767211914062e+00,-3.677408695220947266e-01,4.642575979232788086e-02,-1.722639948129653931e-01
-1.507478237152099609e+00,-2.919243574142456055e-01,4.905286788940429688e+00,-1.954768747091293335e-01,3.054326213896274567e-02,-1.099557429552078247e-01
-1.521835207939147949e+00,-2.201396822929382324e-01,4.728217601776123047e+00,9.407324343919754028e-02,-8.552113547921180725e-03,5.375614017248153687e-02
-1.560120344161987305e+00,-1.148554831743240356e-01,4.594219684600830078e+00,1.722639948129653931e-01,7.330382708460092545e-03,9.285151958465576172e-02
-1.430907964706420898e+00,2.392822504043579102e-01,4.728217601776123047e+00,1.404990106821060181e-01,-3.909537568688392639e-02,1.075122803449630737e-01
-1.464407444000244141e+00,2.488535493612289429e-01,4.790431022644042969e+00,9.407324343919754028e-02,-3.909537568688392639e-02,6.963863223791122437e-02
-1.454836130142211914e+00,4.019941985607147217e-01,4.699503898620605469e+00,2.321287989616394043e-02,-3.909537568688392639e-02,-1.221730490215122700e-03
-1.411765336990356445e+00,2.153540551662445068e-01,4.675575733184814453e+00,-7.330382708460092545e-03,-7.086036354303359985e-02,-7.819075137376785278e-02
-1.507478237152099609e+00,1.196411252021789551e-01,4.804787635803222656e+00,0.000000000000000000e+00,-4.764748737215995789e-02,-7.819075137376785278e-02
-1.517049551010131836e+00,7.178468257188796997e-02,4.804787635803222656e+00,-3.909537568688392639e-02,7.330382708460092545e-03,-5.497787147760391235e-02
-1.493121385574340820e+00,-8.135597407817840576e-02,4.804787635803222656e+00,3.176499158143997192e-02,6.963863223791122437e-02,1.466076541692018509e-02
-1.555334687232971191e+00,1.914258114993572235e-02,4.618147850036621094e+00,6.230825558304786682e-02,-9.407324343919754028e-02,-2.443460933864116669e-02
-1.540977835655212402e+00,-2.392822690308094025e-02,4.704289436340332031e+00,8.552113175392150879e-02,-5.497787147760391235e-02,3.787364438176155090e-02
-1.435693740844726562e+00,1.435693651437759399e-01,4.766502857208251953e+00,9.407324343919754028e-02,-3.909537568688392639e-02,5.375614017248153687e-02
-1.440479278564453125e+00,2.297109663486480713e-01,4.771288394927978516e+00,7.330382708460092545e-03,-1.588249579071998596e-02,1.075122803449630737e-01
